1	0.7
1.1	0.933655
1.2	1.16345
1.3	1.38553
1.4	1.59604
1.5	1.79112
1.6	1.9669
1.7	2.11954
1.8	2.24518
1.9	2.33995
2	2.4
2.1	2.42343
2.2	2.41617
2.3	2.38611
2.4	2.34114
2.5	2.28915
2.6	2.23803
2.7	2.19566
2.8	2.16994
2.9	2.16876
3	2.2
3.1	2.26912
3.2	2.37186
3.3	2.50151
3.4	2.65138
3.5	2.81477
3.6	2.98498
3.7	3.1553
3.8	3.31905
3.9	3.46951
4	3.6
4.1	3.70578
4.2	3.78999
4.3	3.85773
4.4	3.91412
4.5	3.96426
4.6	4.01326
4.7	4.06623
4.8	4.12827
4.9	4.20449
5	4.3
5.1	4.41857
5.2	4.5586
5.3	4.71717
5.4	4.89134
5.5	5.07819
5.6	5.27478
5.7	5.47819
5.8	5.68548
5.9	5.89373
6	6.1
6.1	6.30186
6.2	6.49882
6.3	6.69091
6.4	6.87813
6.5	7.06049
6.6	7.23802
6.7	7.41072
6.8	7.57861
6.9	7.7417
7	7.9
7.1	8.0536
7.2	8.20291
7.3	8.3484
7.4	8.49055
7.5	8.62984
7.6	8.76673
7.7	8.90172
7.8	9.03528
7.9	9.16788
8	9.3
